id,MyName,LikeMovie,Gender,Age,Story,Entertainment,Effect,Cast,Q2_word,district1,district2
65ddebabfc13ae1d74cd377f,Ashla,YES,Female,< 20,2,1,3,1,,NT,HK-YL_Yuen Long
65ddebabfc13ae1d74cd3780,Sabina,YES,Male,> 60,2,2,1,1,,HK,HK-KI_Kwai Tsing
65ddebabfc13ae1d74cd3781,Loralyn,YES,Male,< 20,3,5,5,4,,NT,HK-YL_Yuen Long
65ddebabfc13ae1d74cd3782,Ricky,YES,Female,> 60,3,5,5,1,,NT,HK-IS_Island
65ddebabfc13ae1d74cd3783,Monika,NO,Female,< 20,2,5,3,1,,NT,HK-YL_Yuen Long
65ddebabfc13ae1d74cd3784,Lucais,NO,Female,21-40,4,4,1,4,,HK,HK-KI_Kwai Tsing
65ddebabfc13ae1d74cd3785,Maggy,YES,Female,21-40,4,4,3,5,,KLN,HK-WT_Wong Tai Sin
65ddebabfc13ae1d74cd3786,Jarad,YES,Male,21-40,1,3,5,3,,NT,HK-TW_Tsun Wan
65ddebabfc13ae1d74cd3787,Stern,NO,Female,21-40,5,3,3,3,,KLN,HK-WT_Wong Tai Sin
65ddebabfc13ae1d74cd3788,Analise,YES,Female,< 20,4,5,2,5,,HK,HK-SO_Southern
65ddebabfc13ae1d74cd3789,Valdemar,YES,Female,41-60,5,2,2,2,,NT,HK-ST_Sha Tin
65ddebabfc13ae1d74cd378a,Portia,YES,Female,> 60,4,4,3,5,,KLN,HK-WT_Wong Tai Sin
65ddebabfc13ae1d74cd378b,Virgil,YES,Male,41-60,3,5,5,1,,HK,HK-WC_Wan Chai
65ddebabfc13ae1d74cd378c,Nady,YES,Male,41-60,1,2,4,4,,NT,HK-SK_Sai Kung
65ddebabfc13ae1d74cd378d,Nonnah,YES,Male,< 20,3,4,5,2,,NT,HK-TW_Tsun Wan
65ddebabfc13ae1d74cd378e,Roy,YES,Female,< 20,2,2,1,1,,KLN,HK-KC_Kowloon City
65ddebabfc13ae1d74cd378f,Casi,NO,Male,< 20,2,2,4,1,,NT,HK-ST_Sha Tin
65ddebabfc13ae1d74cd3790,Kippie,YES,Male,41-60,4,3,3,5,,KLN,HK-SS_Sham Shui Po
65ddebabfc13ae1d74cd3791,Tulley,YES,Female,> 60,1,5,4,2,,KLN,HK-SS_Sham Shui Po
65ddebabfc13ae1d74cd3792,Rorie,YES,Female,21-40,1,1,1,4,,NT,HK-TM_Tusen Mun
65ddebacfc13ae1d74cd3793,Tamiko,YES,Male,21-40,1,1,5,5,,NT,HK-TP_Tai Po
65ddebacfc13ae1d74cd3794,Cobb,YES,Male,< 20,4,2,3,5,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd3795,Verile,YES,Male,< 20,1,1,1,3,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd3796,Lettie,YES,Female,< 20,5,1,2,2,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd3797,Lynn,YES,Male,41-60,1,5,1,3,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd3798,Carly,NO,Female,21-40,1,1,4,2,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd3799,Nap,YES,Female,< 20,1,2,5,2,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd379a,Alma,NO,Male,41-60,5,1,5,3,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd379b,Joell,YES,Female,< 20,3,1,2,4,,NT,HK-TW_Tsun Wan
65ddebacfc13ae1d74cd379c,Stacy,YES,Male,21-40,3,4,1,5,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd379d,Kimberli,YES,Female,21-40,2,3,1,1,,NT,HK-TP_Tai Po
65ddebacfc13ae1d74cd379e,Miner,YES,Male,21-40,5,4,3,2,,HK,HK-NO_North
65ddebacfc13ae1d74cd379f,Marylinda,YES,Male,< 20,4,3,5,4,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37a0,Quincey,YES,Female,21-40,2,2,1,5,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37a1,Jessa,YES,Female,21-40,2,4,5,5,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd37a2,Webb,YES,Female,> 60,5,3,1,3,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd37a3,Daveta,YES,Female,< 20,2,4,5,5,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37a4,Ella,YES,Female,21-40,2,2,2,2,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd37a5,Constancy,YES,Male,< 20,1,1,5,2,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd37a6,Elianore,YES,Male,21-40,5,4,2,3,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd37a7,Michaelina,YES,Female,41-60,2,4,1,5,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd37a8,Vassili,YES,Female,21-40,3,3,4,3,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd37a9,Rozanne,YES,Male,< 20,2,3,2,2,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd37aa,Julina,YES,Male,< 20,5,3,1,1,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37ab,Harri,YES,Female,< 20,3,2,3,3,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd37ac,Herve,YES,Female,21-40,2,4,4,3,,HK,HK-NO_North
65ddebacfc13ae1d74cd37ad,Benjamin,YES,Female,21-40,5,3,5,2,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd37ae,Thorin,NO,Male,21-40,5,3,3,1,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd37af,Jeddy,YES,Male,21-40,4,4,4,1,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd37b0,Germain,YES,Male,21-40,5,4,3,5,,HK,HK-KI_Kwai Tsing
65ddebacfc13ae1d74cd37b1,Bret,YES,Female,21-40,5,4,2,2,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd37b2,Ive,YES,Female,< 20,1,1,3,1,,HK,HK-KI_Kwai Tsing
65ddebacfc13ae1d74cd37b3,Ernesto,YES,Female,21-40,4,1,4,5,,NT,HK-IS_Island
65ddebacfc13ae1d74cd37b4,Brucie,YES,Female,21-40,5,1,2,5,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd37b5,Thalia,YES,Male,21-40,3,1,1,2,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd37b6,Dinnie,YES,Female,21-40,1,1,1,2,,NT,HK-ST_Sha Tin
65ddebacfc13ae1d74cd37b7,Rayner,YES,Male,< 20,1,1,5,3,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd37b8,Sheelagh,YES,Male,< 20,4,3,2,5,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd37b9,Currey,NO,Male,> 60,3,1,5,2,,NT,HK-TP_Tai Po
65ddebacfc13ae1d74cd37ba,Retha,YES,Female,21-40,5,3,2,3,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd37bb,Egor,YES,Male,41-60,3,5,4,5,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37bc,Sandro,YES,Female,< 20,3,4,2,3,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd37bd,Roobbie,YES,Female,< 20,4,3,1,3,,NT,HK-TP_Tai Po
65ddebacfc13ae1d74cd37be,Kenny,YES,Female,21-40,3,4,2,1,,NT,HK-TP_Tai Po
65ddebacfc13ae1d74cd37bf,Theo,YES,Female,21-40,2,3,4,5,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd37c0,Skippie,YES,Female,21-40,2,3,1,5,,HK,HK-NO_North
65ddebacfc13ae1d74cd37c1,Selle,YES,Female,< 20,3,1,4,5,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd37c2,Norman,YES,Female,< 20,3,2,2,5,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd37c3,Ali,YES,Male,21-40,1,2,1,4,,HK,HK-KI_Kwai Tsing
65ddebacfc13ae1d74cd37c4,Vasily,YES,Male,< 20,2,5,5,2,,HK,HK-NO_North
65ddebacfc13ae1d74cd37c5,Orbadiah,NO,Male,< 20,2,1,3,2,,NT,HK-ST_Sha Tin
65ddebacfc13ae1d74cd37c6,Haskel,YES,Male,21-40,2,4,3,3,,HK,HK-NO_North
65ddebacfc13ae1d74cd37c7,Nicolais,NO,Female,< 20,1,4,1,2,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd37c8,Darelle,YES,Female,21-40,3,5,2,3,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd37c9,Sheilakathryn,YES,Female,21-40,5,5,2,4,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd37ca,Chester,YES,Male,41-60,4,5,4,2,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd37cb,Myca,YES,Male,> 60,5,5,4,2,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd37cc,Bonita,YES,Male,41-60,2,1,2,5,,NT,HK-ST_Sha Tin
65ddebacfc13ae1d74cd37cd,Jerome,YES,Male,41-60,2,3,1,5,,NT,HK-TW_Tsun Wan
65ddebacfc13ae1d74cd37ce,Dimitri,YES,Female,41-60,2,3,3,5,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd37cf,Joachim,NO,Female,> 60,5,2,4,1,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd37d0,Alli,YES,Male,< 20,5,1,4,4,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd37d1,Demetre,NO,Male,21-40,4,1,5,5,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd37d2,Madelina,YES,Male,21-40,4,5,1,2,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37d3,Bone,YES,Female,21-40,3,5,4,5,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd37d4,Marjory,YES,Male,< 20,2,2,2,5,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd37d5,Sosanna,YES,Female,21-40,5,4,2,3,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd37d6,Lonni,YES,Female,< 20,1,3,2,2,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd37d7,Muffin,YES,Male,21-40,4,5,4,3,,NT,HK-IS_Island
65ddebacfc13ae1d74cd37d8,Hermia,YES,Male,41-60,5,2,3,2,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd37d9,Hamish,YES,Male,21-40,3,1,5,5,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37da,Guenna,YES,Male,< 20,2,3,2,5,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd37db,Taber,YES,Male,21-40,5,3,3,5,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37dc,Lorry,YES,Male,21-40,1,2,3,4,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd37dd,Ado,YES,Female,> 60,3,3,1,5,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd37de,Clovis,YES,Female,< 20,3,5,4,4,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37df,Suzi,YES,Female,41-60,3,2,2,3,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd37e0,Jehanna,YES,Male,21-40,1,5,5,1,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd37e1,Aggi,YES,Female,< 20,3,1,1,5,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd37e2,Sullivan,YES,Female,< 20,4,3,5,2,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd37e3,Hugibert,YES,Male,< 20,2,1,1,3,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd37e4,Ilse,YES,Male,21-40,5,2,4,5,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd37e5,Seth,YES,Male,21-40,4,5,4,3,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37e6,Charlie,YES,Female,41-60,5,5,1,5,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd37e7,Mathe,YES,Female,> 60,3,3,5,2,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd37e8,Titus,YES,Male,< 20,1,2,3,2,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd37e9,Teddie,YES,Female,< 20,4,2,4,3,,NT,HK-YL_Yuen Long
65ddebacfc13ae1d74cd37ea,Rudyard,YES,Male,41-60,2,1,4,1,,HK,HK-NO_North
65ddebacfc13ae1d74cd37eb,Nial,YES,Male,21-40,3,2,2,2,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd37ec,Rozalin,YES,Female,21-40,5,2,3,3,,NT,HK-YL_Yuen Long
65ddebacfc13ae1d74cd37ed,Julie,YES,Female,< 20,4,2,2,3,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd37ee,Kaylee,YES,Female,< 20,5,4,3,3,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd37ef,Jason,YES,Male,< 20,2,1,5,4,,NT,HK-TW_Tsun Wan
65ddebacfc13ae1d74cd37f0,Vania,YES,Female,21-40,4,5,2,3,,NT,HK-TM_Tusen Mun
65ddebacfc13ae1d74cd37f1,Gayle,YES,Female,< 20,4,3,5,4,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd37f2,Patricia,YES,Female,< 20,1,4,4,1,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd37f3,Clemmy,YES,Male,41-60,4,5,3,5,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd37f4,Taddeo,YES,Female,21-40,1,2,2,4,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd37f5,Ameline,YES,Male,21-40,2,5,1,2,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd37f6,Denys,NO,Female,21-40,3,1,4,2,,NT,HK-YL_Yuen Long
65ddebacfc13ae1d74cd37f7,Tan,NO,Male,21-40,3,1,2,4,,NT,HK-TW_Tsun Wan
65ddebacfc13ae1d74cd37f8,Gleda,YES,Female,> 60,1,2,5,3,,NT,HK-TW_Tsun Wan
65ddebacfc13ae1d74cd37f9,Kent,YES,Male,< 20,1,1,2,1,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd37fa,Peg,NO,Male,41-60,5,4,5,3,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd37fb,Halie,YES,Male,> 60,2,4,4,2,,HK,HK-KI_Kwai Tsing
65ddebacfc13ae1d74cd37fc,Cull,YES,Female,21-40,1,4,4,5,,NT,HK-TM_Tusen Mun
65ddebacfc13ae1d74cd37fd,Tybi,YES,Female,< 20,3,1,1,3,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd37fe,Corilla,YES,Male,< 20,4,5,5,3,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd37ff,Vivyan,YES,Male,< 20,3,1,4,1,,NT,HK-TM_Tusen Mun
65ddebacfc13ae1d74cd3800,Nike,YES,Male,21-40,4,3,4,3,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd3801,Delly,YES,Female,21-40,2,2,5,3,,HK,HK-KI_Kwai Tsing
65ddebacfc13ae1d74cd3802,Sol,YES,Male,< 20,4,4,2,5,,HK,HK-NO_North
65ddebacfc13ae1d74cd3803,Kariotta,YES,Female,41-60,1,3,3,1,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd3804,Berkeley,YES,Male,41-60,1,5,2,1,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd3805,Florence,YES,Female,21-40,5,5,3,1,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd3806,Pooh,NO,Male,21-40,1,4,4,5,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd3807,Horton,YES,Female,41-60,3,2,5,3,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd3808,Darbie,YES,Female,41-60,3,5,1,5,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd3809,Darrell,NO,Male,21-40,2,3,3,2,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd380a,Petronille,YES,Female,< 20,4,1,1,2,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd380b,Rebeka,NO,Female,41-60,5,5,2,5,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd380c,Emiline,YES,Male,41-60,1,1,2,1,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd380d,Darby,NO,Male,< 20,1,3,2,4,,NT,HK-YL_Yuen Long
65ddebacfc13ae1d74cd380e,Tab,YES,Female,21-40,1,5,5,4,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd380f,Adel,YES,Male,21-40,1,4,3,5,,NT,HK-ST_Sha Tin
65ddebacfc13ae1d74cd3810,Rafaellle,NO,Male,21-40,5,3,3,5,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd3811,Myer,YES,Female,< 20,2,5,4,5,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd3812,Kane,YES,Male,41-60,2,2,4,2,,HK,HK-EA_Eastern
65ddebacfc13ae1d74cd3813,Whit,YES,Male,21-40,1,1,3,2,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd3814,Cookie,YES,Female,< 20,1,2,3,4,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd3815,Towney,YES,Female,21-40,5,5,1,4,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd3816,Cortney,YES,Male,21-40,3,1,1,5,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd3817,Reeta,YES,Male,21-40,2,1,5,5,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd3818,Nickey,YES,Female,21-40,1,4,4,4,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd3819,Goraud,YES,Male,21-40,4,4,3,5,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd381a,Nina,YES,Male,< 20,5,1,5,3,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd381b,Redford,NO,Female,41-60,3,4,5,4,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd381c,Dorisa,NO,Female,< 20,1,5,5,3,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd381d,Cam,YES,Female,< 20,4,4,5,1,,NT,HK-YL_Yuen Long
65ddebacfc13ae1d74cd381e,Norina,YES,Female,> 60,4,4,1,2,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd381f,Ludovico,NO,Female,< 20,2,4,5,4,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd3820,Kurt,YES,Female,< 20,1,2,1,3,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd3821,Teodoro,YES,Male,21-40,5,5,2,2,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd3822,Jessie,YES,Male,< 20,5,3,3,3,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd3823,Wendye,YES,Male,< 20,4,5,3,1,,NT,HK-SK_Sai Kung
65ddebacfc13ae1d74cd3824,Adair,YES,Female,< 20,5,3,5,1,,HK,HK-KI_Kwai Tsing
65ddebacfc13ae1d74cd3825,Yoshi,YES,Male,41-60,5,3,2,5,,KLN,HK-WT_Wong Tai Sin
65ddebacfc13ae1d74cd3826,Robers,YES,Female,< 20,2,5,4,2,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd3827,Lanette,YES,Female,21-40,2,2,1,1,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd3828,Dee dee,YES,Female,21-40,4,4,2,3,,NT,HK-YL_Yuen Long
65ddebacfc13ae1d74cd3829,Guinna,YES,Male,> 60,4,4,1,4,,HK,HK-CW_Central and Western
65ddebacfc13ae1d74cd382a,Addi,YES,Female,< 20,3,5,1,5,,KLN,HK-YT_Yau Tsim Mong
65ddebacfc13ae1d74cd382b,Kerrie,YES,Male,21-40,4,2,4,3,,KLN,HK-KU_Kwun Tong
65ddebacfc13ae1d74cd382c,Jefferson,YES,Male,> 60,1,3,5,5,,HK,HK-WC_Wan Chai
65ddebacfc13ae1d74cd382d,Catlaina,NO,Female,> 60,2,5,4,3,,HK,HK-KI_Kwai Tsing
65ddebacfc13ae1d74cd382e,Mellicent,YES,Female,< 20,3,5,4,2,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd382f,Gerardo,YES,Female,< 20,2,5,2,5,,NT,HK-TP_Tai Po
65ddebacfc13ae1d74cd3830,Galven,YES,Female,< 20,1,4,1,5,,NT,HK-TM_Tusen Mun
65ddebacfc13ae1d74cd3831,Alvin,NO,Female,21-40,4,2,5,2,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd3832,Monica,YES,Male,> 60,2,5,4,4,,NT,HK-TM_Tusen Mun
65ddebacfc13ae1d74cd3833,Pete,YES,Male,21-40,2,1,1,3,,NT,HK-YL_Yuen Long
65ddebacfc13ae1d74cd3834,Conrad,YES,Male,< 20,4,4,3,3,,NT,HK-TM_Tusen Mun
65ddebacfc13ae1d74cd3835,Irene,YES,Male,< 20,3,2,4,4,,NT,HK-IS_Island
65ddebacfc13ae1d74cd3836,Deane,YES,Female,< 20,4,5,2,3,,NT,HK-YL_Yuen Long
65ddebacfc13ae1d74cd3837,Charin,YES,Male,< 20,1,5,4,3,,KLN,HK-KC_Kowloon City
65ddebacfc13ae1d74cd3838,Rodrigo,YES,Female,> 60,1,3,2,3,,KLN,HK-SS_Sham Shui Po
65ddebacfc13ae1d74cd3839,Emmalee,NO,Female,41-60,3,5,1,4,,HK,HK-SO_Southern
65ddebacfc13ae1d74cd383a,Wendi,YES,Female,< 20,2,4,3,2,,HK,HK-KI_Kwai Tsing
65ddebacfc13ae1d74cd383b,Mathilda,YES,Male,< 20,3,4,5,3,,NT,HK-IS_Island
